date,/m/01c751
2020-01-01,0.0
2020-01-02,0.2
2020-01-03,0.2
2020-01-04,0.0
2020-01-05,0.3
2020-01-06,0.5
2020-01-07,0.0
2020-01-08,1.1
2020-01-09,0.2
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.3
2020-01-22,0.3
2020-01-23,2.2
2020-01-24,3.4
2020-01-25,5.0
2020-01-26,7.8
2020-01-27,4.1
2020-01-28,8.1
2020-01-29,4.7
2020-01-30,8.8
2020-01-31,6.2
2020-02-01,4.4
2020-02-02,7.2
2020-02-03,4.1
2020-02-04,3.5
2020-02-05,4.0
2020-02-06,2.3
2020-02-07,3.0
2020-02-08,4.4
2020-02-09,2.3
2020-02-10,0.5
2020-02-11,3.5
2020-02-12,1.1
2020-02-13,1.8
2020-02-14,2.2
2020-02-15,2.3
2020-02-16,4.2
2020-02-17,0.8
2020-02-18,3.3
2020-02-19,1.5
2020-02-20,0.2
2020-02-21,0.8
2020-02-22,5.3
2020-02-23,5.0
2020-02-24,9.8
2020-02-25,17.8
2020-02-26,18.5
2020-02-27,17.2
2020-02-28,19.7
2020-02-29,11.3
2020-03-01,12.1
2020-03-02,10.1
2020-03-03,7.9
2020-03-04,6.4
2020-03-05,7.1
2020-03-06,10.0
2020-03-07,8.4
2020-03-08,15.4
2020-03-09,12.0
2020-03-10,12.0
2020-03-11,43.3
2020-03-12,48.1
2020-03-13,53.6
2020-03-14,39.3
2020-03-15,100.0
2020-03-16,58.3
2020-03-17,57.7
2020-03-18,48.9
2020-03-19,50.0
2020-03-20,47.8
2020-03-21,51.0
2020-03-22,56.5
2020-03-23,29.7
2020-03-24,19.8
2020-03-25,21.3
2020-03-26,20.9
2020-03-27,24.6
2020-03-28,33.8
2020-03-29,36.2
2020-03-30,20.4
2020-03-31,16.9
2020-04-01,14.8
2020-04-02,14.9
2020-04-03,19.3
2020-04-04,34.4
2020-04-05,27.2
2020-04-06,17.7
2020-04-07,13.8
2020-04-08,8.4
2020-04-09,15.8
2020-04-10,12.9
2020-04-11,15.0
2020-04-12,18.5
2020-04-13,13.8
2020-04-14,6.8
2020-04-15,9.7
2020-04-16,12.6
2020-04-17,11.5
2020-04-18,12.7
2020-04-19,22.9
2020-04-20,10.6
2020-04-21,14.1
2020-04-22,5.6
2020-04-23,4.5
2020-04-24,8.0
2020-04-25,16.9
2020-04-26,13.0
2020-04-27,8.8
2020-04-28,10.9
2020-04-29,9.6
2020-04-30,7.0
2020-05-01,7.1
2020-05-02,5.7
2020-05-03,10.5
2020-05-04,6.9
2020-05-05,6.1
2020-05-06,5.6
2020-05-07,5.0
2020-05-08,6.2
2020-05-09,7.0
2020-05-10,8.8
2020-05-11,11.3
2020-05-12,10.5
2020-05-13,5.0
2020-05-14,5.3
2020-05-15,5.8
2020-05-16,6.3
2020-05-17,7.8
2020-05-18,4.4
2020-05-19,4.9
2020-05-20,4.2
2020-05-21,3.6
2020-05-22,5.6
2020-05-23,5.7
2020-05-24,8.1
2020-05-25,2.1
2020-05-26,3.4
2020-05-27,3.1
2020-05-28,5.7
2020-05-29,3.3
2020-05-30,1.2
2020-05-31,4.1
2020-06-01,4.3
2020-06-02,3.5
2020-06-03,1.5
2020-06-04,3.1
2020-06-05,2.6
2020-06-06,3.8
2020-06-07,4.8
2020-06-08,1.7
2020-06-09,3.5
2020-06-10,3.1
2020-06-11,2.1
2020-06-12,1.7
2020-06-13,1.6
2020-06-14,3.7
2020-06-15,2.3
2020-06-16,3.4
2020-06-17,3.0
2020-06-18,2.0
2020-06-19,0.7
2020-06-20,2.5
2020-06-21,2.3
2020-06-22,3.3
2020-06-23,1.5
2020-06-24,2.0
2020-06-25,1.3
2020-06-26,2.8
2020-06-27,2.4
2020-06-28,3.9
2020-06-29,1.5
2020-06-30,1.4
2020-07-01,1.2
2020-07-02,1.5
2020-07-03,0.7
2020-07-04,3.4
2020-07-05,1.7
2020-07-06,3.0
2020-07-07,1.7
2020-07-08,0.6
2020-07-09,1.6
2020-07-10,0.9
2020-07-11,0.6
2020-07-12,2.4
2020-07-13,1.7
2020-07-14,3.6
2020-07-15,2.4
2020-07-16,3.3
2020-07-17,4.5
2020-07-18,5.0
2020-07-19,4.0
2020-07-20,1.5
2020-07-21,2.1
2020-07-22,2.8
2020-07-23,3.3
2020-07-24,5.5
2020-07-25,2.6
2020-07-26,3.7
2020-07-27,3.2
2020-07-28,4.3
2020-07-29,3.5
2020-07-30,1.9
2020-07-31,4.3
2020-08-01,2.8
2020-08-02,2.9
2020-08-03,3.2
2020-08-04,4.8
2020-08-05,3.5
2020-08-06,4.0
2020-08-07,3.1
2020-08-08,2.8
2020-08-09,2.8
2020-08-10,1.4
2020-08-11,5.3
2020-08-12,1.6
2020-08-13,1.9
