date,/m/01cdt5
2020-02-01,24.0
2020-02-02,25.0
2020-02-03,19.0
2020-02-04,10.0
2020-02-05,21.0
2020-02-06,11.0
2020-02-07,0.0
2020-02-08,24.0
2020-02-09,24.0
2020-02-10,10.0
2020-02-11,20.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,11.0
2020-02-15,12.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,20.0
2020-02-19,10.0
2020-02-20,0.0
2020-02-21,44.0
2020-02-22,0.0
2020-02-23,25.0
2020-02-24,41.0
2020-02-25,22.0
2020-02-26,9.0
2020-02-27,28.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,21.0
2020-03-02,27.0
2020-03-03,18.0
2020-03-04,9.0
2020-03-05,19.0
2020-03-06,10.0
2020-03-07,12.0
2020-03-08,11.0
2020-03-09,0.0
2020-03-10,19.0
2020-03-11,46.0
2020-03-12,9.0
2020-03-13,30.0
2020-03-14,60.0
2020-03-15,90.0
2020-03-16,46.0
2020-03-17,19.0
2020-03-18,18.0
2020-03-19,28.0
2020-03-20,0.0
2020-03-21,55.0
2020-03-22,22.0
2020-03-23,17.0
2020-03-24,27.0
2020-03-25,100.0
2020-03-26,46.0
2020-03-27,63.0
2020-03-28,11.0
2020-03-29,21.0
2020-03-30,43.0
2020-03-31,17.0
2020-04-01,26.0
2020-04-02,0.0
2020-04-03,9.0
2020-04-04,11.0
2020-04-05,31.0
2020-04-06,26.0
2020-04-07,18.0
2020-04-08,18.0
2020-04-09,0.0
2020-04-10,31.0
2020-04-11,11.0
2020-04-12,11.0
2020-04-13,27.0
2020-04-14,8.0
2020-04-15,8.0
2020-04-16,8.0
2020-04-17,9.0
2020-04-18,21.0
2020-04-19,0.0
2020-04-20,23.0
2020-04-21,33.0
2020-04-22,25.0
2020-04-23,8.0
2020-04-24,9.0
2020-04-25,10.0
2020-04-26,10.0
2020-04-27,16.0
2020-04-28,0.0
2020-04-29,8.0
2020-04-30,8.0
2020-05-01,0.0
2020-05-02,42.0
2020-05-03,33.0
2020-05-04,16.0
2020-05-05,8.0
2020-05-06,17.0
2020-05-07,9.0
2020-05-08,26.0
2020-05-09,10.0
2020-05-10,0.0
2020-05-11,24.0
2020-05-12,0.0
2020-05-13,8.0
2020-05-14,0.0
2020-05-15,9.0
2020-05-16,12.0
2020-05-17,23.0
2020-05-18,9.0
2020-05-19,17.0
2020-05-20,9.0
2020-05-21,0.0
2020-05-22,27.0
2020-05-23,0.0
2020-05-24,36.0
2020-05-25,26.0
2020-05-26,17.0
2020-05-27,9.0
2020-05-28,9.0
2020-05-29,9.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,25.0
2020-06-02,34.0
2020-06-03,8.0
2020-06-04,30.0
2020-06-05,0.0
2020-06-06,11.0
2020-06-07,22.0
2020-06-08,8.0
2020-06-09,0.0
2020-06-10,10.0
2020-06-11,10.0
2020-06-12,35.0
2020-06-13,0.0
2020-06-14,11.0
2020-06-15,9.0
2020-06-16,8.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,9.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,18.0
