date,/m/0cjf0
2020-02-01,33.0
2020-02-02,30.0
2020-02-03,42.0
2020-02-04,43.0
2020-02-05,43.0
2020-02-06,34.0
2020-02-07,32.0
2020-02-08,47.0
2020-02-09,27.0
2020-02-10,35.0
2020-02-11,41.0
2020-02-12,47.0
2020-02-13,40.0
2020-02-14,32.0
2020-02-15,41.0
2020-02-16,34.0
2020-02-17,37.0
2020-02-18,35.0
2020-02-19,29.0
2020-02-20,40.0
2020-02-21,42.0
2020-02-22,25.0
2020-02-23,43.0
2020-02-24,40.0
2020-02-25,39.0
2020-02-26,43.0
2020-02-27,48.0
2020-02-28,39.0
2020-02-29,37.0
2020-03-01,36.0
2020-03-02,52.0
2020-03-03,43.0
2020-03-04,27.0
2020-03-05,42.0
2020-03-06,28.0
2020-03-07,39.0
2020-03-08,45.0
2020-03-09,41.0
2020-03-10,67.0
2020-03-11,69.0
2020-03-12,61.0
2020-03-13,59.0
2020-03-14,89.0
2020-03-15,72.0
2020-03-16,100.0
2020-03-17,58.0
2020-03-18,73.0
2020-03-19,42.0
2020-03-20,42.0
2020-03-21,64.0
2020-03-22,74.0
2020-03-23,39.0
2020-03-24,57.0
2020-03-25,65.0
2020-03-26,38.0
2020-03-27,54.0
2020-03-28,56.0
2020-03-29,43.0
2020-03-30,40.0
2020-03-31,51.0
2020-04-01,32.0
2020-04-02,43.0
2020-04-03,33.0
2020-04-04,41.0
2020-04-05,51.0
2020-04-06,29.0
2020-04-07,42.0
2020-04-08,31.0
2020-04-09,24.0
2020-04-10,39.0
2020-04-11,23.0
2020-04-12,35.0
2020-04-13,32.0
2020-04-14,30.0
2020-04-15,32.0
2020-04-16,23.0
2020-04-17,22.0
2020-04-18,33.0
2020-04-19,41.0
2020-04-20,31.0
2020-04-21,28.0
2020-04-22,22.0
2020-04-23,37.0
2020-04-24,24.0
2020-04-25,22.0
2020-04-26,25.0
2020-04-27,39.0
2020-04-28,24.0
2020-04-29,27.0
2020-04-30,23.0
2020-05-01,24.0
2020-05-02,31.0
2020-05-03,28.0
2020-05-04,21.0
2020-05-05,31.0
2020-05-06,27.0
2020-05-07,17.0
2020-05-08,26.0
2020-05-09,25.0
2020-05-10,29.0
2020-05-11,21.0
2020-05-12,38.0
2020-05-13,20.0
2020-05-14,25.0
2020-05-15,21.0
2020-05-16,20.0
2020-05-17,31.0
2020-05-18,36.0
2020-05-19,20.0
2020-05-20,31.0
2020-05-21,29.0
2020-05-22,24.0
2020-05-23,29.0
2020-05-24,21.0
2020-05-25,22.0
2020-05-26,24.0
2020-05-27,28.0
2020-05-28,19.0
2020-05-29,19.0
2020-05-30,24.0
2020-05-31,23.0
2020-06-01,21.0
2020-06-02,24.0
2020-06-03,23.0
2020-06-04,25.0
2020-06-05,21.0
2020-06-06,13.0
2020-06-07,12.0
2020-06-08,23.0
2020-06-09,27.0
2020-06-10,17.0
2020-06-11,22.0
2020-06-12,20.0
2020-06-13,30.0
2020-06-14,15.0
2020-06-15,14.0
2020-06-16,20.0
2020-06-17,7.0
2020-06-18,25.0
2020-06-19,27.0
2020-06-20,26.0
2020-06-21,9.0
2020-06-22,19.0
2020-06-23,19.0
2020-06-24,30.0
2020-06-25,24.0
2020-06-26,23.0
2020-06-27,17.0
2020-06-28,15.0
2020-06-29,10.0
2020-06-30,19.0
2020-07-01,18.0
2020-07-02,16.0
2020-07-03,15.0
2020-07-04,10.0
2020-07-05,19.0
2020-07-06,17.0
2020-07-07,24.0
2020-07-08,19.0
2020-07-09,24.0
2020-07-10,16.0
2020-07-11,21.0
2020-07-12,14.0
2020-07-13,13.0
2020-07-14,22.0
2020-07-15,25.0
2020-07-16,31.0
2020-07-17,12.0
2020-07-18,16.0
2020-07-19,16.0
2020-07-20,14.0
2020-07-21,24.0
2020-07-22,18.0
2020-07-23,18.0
2020-07-24,18.0
2020-07-25,17.0
2020-07-26,19.0
2020-07-27,13.0
2020-07-28,17.0
2020-07-29,13.0
2020-07-30,23.0
2020-07-31,19.0
2020-08-01,14.0
2020-08-02,11.0
2020-08-03,26.0
2020-08-04,13.0
2020-08-05,14.0
2020-08-06,17.0
2020-08-07,23.0
2020-08-08,22.0
2020-08-09,12.0
2020-08-10,22.0
2020-08-11,13.0
2020-08-12,20.0
2020-08-13,13.0
2020-08-14,22.0
2020-08-15,14.0
2020-08-16,12.0
2020-08-17,26.0
2020-08-18,23.0
2020-08-19,16.0
2020-08-20,25.0
2020-08-21,17.0
2020-08-22,16.0
2020-08-23,15.0
2020-08-24,16.0
2020-08-25,23.0
2020-08-26,26.0
2020-08-27,24.0
2020-08-28,22.0
2020-08-29,17.0
2020-08-30,21.0
2020-08-31,32.0
2020-09-01,26.0
2020-09-02,36.0
2020-09-03,21.0
2020-09-04,28.0
2020-09-05,14.0
2020-09-06,30.0
2020-09-07,23.0
2020-09-08,24.0
2020-09-09,25.0
2020-09-10,32.0
2020-09-11,21.0
2020-09-12,21.0
2020-09-13,18.0
2020-09-14,19.0
