date,/m/01c751
2020-02-01,10.0
2020-02-02,9.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,17.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,8.0
2020-02-12,0.0
2020-02-13,9.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,10.0
2020-02-23,0.0
2020-02-24,8.0
2020-02-25,0.0
2020-02-26,8.0
2020-02-27,16.0
2020-02-28,8.0
2020-02-29,0.0
2020-03-01,8.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,8.0
2020-03-05,17.0
2020-03-06,43.0
2020-03-07,9.0
2020-03-08,27.0
2020-03-09,48.0
2020-03-10,32.0
2020-03-11,62.0
2020-03-12,64.0
2020-03-13,57.0
2020-03-14,45.0
2020-03-15,9.0
2020-03-16,46.0
2020-03-17,48.0
2020-03-18,41.0
2020-03-19,33.0
2020-03-20,56.0
2020-03-21,56.0
2020-03-22,100.0
2020-03-23,34.0
2020-03-24,8.0
2020-03-25,37.0
2020-03-26,15.0
2020-03-27,31.0
2020-03-28,29.0
2020-03-29,41.0
2020-03-30,63.0
2020-03-31,51.0
2020-04-01,29.0
2020-04-02,15.0
2020-04-03,24.0
2020-04-04,29.0
2020-04-05,9.0
2020-04-06,0.0
2020-04-07,25.0
2020-04-08,16.0
2020-04-09,9.0
2020-04-10,9.0
2020-04-11,20.0
2020-04-12,19.0
2020-04-13,25.0
2020-04-14,0.0
2020-04-15,15.0
2020-04-16,8.0
2020-04-17,25.0
2020-04-18,10.0
2020-04-19,8.0
2020-04-20,22.0
2020-04-21,16.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,8.0
2020-04-25,9.0
2020-04-26,9.0
2020-04-27,8.0
2020-04-28,16.0
2020-04-29,8.0
2020-04-30,8.0
2020-05-01,9.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,7.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,22.0
2020-05-10,9.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,7.0
2020-05-16,0.0
2020-05-17,9.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,8.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,8.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,7.0
2020-06-05,7.0
2020-06-06,11.0
2020-06-07,8.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,8.0
2020-06-13,11.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,9.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,8.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,10.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,9.0
2020-07-10,10.0
2020-07-11,0.0
2020-07-12,10.0
2020-07-13,0.0
2020-07-14,18.0
2020-07-15,0.0
2020-07-16,8.0
2020-07-17,0.0
2020-07-18,10.0
2020-07-19,0.0
2020-07-20,9.0
2020-07-21,0.0
2020-07-22,9.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,19.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,8.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,11.0
2020-08-09,10.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,8.0
2020-08-19,8.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,9.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,19.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,9.0
2020-09-03,18.0
2020-09-04,0.0
2020-09-05,22.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,9.0
2020-09-11,9.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,11.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,8.0
2020-09-23,17.0
2020-09-24,0.0
2020-09-25,17.0
2020-09-26,19.0
2020-09-27,0.0
2020-09-28,32.0
2020-09-29,17.0
2020-09-30,16.0
2020-10-01,0.0
2020-10-02,9.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,9.0
2020-10-09,0.0
2020-10-10,11.0
2020-10-11,9.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,17.0
2020-10-16,17.0
2020-10-17,0.0
2020-10-18,9.0
2020-10-19,42.0
2020-10-20,26.0
2020-10-21,9.0
2020-10-22,18.0
2020-10-23,10.0
2020-10-24,10.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,18.779719607233453
2020-10-29,9.618880774436647
2020-10-30,0.0
2020-10-31,22.902097081992014
2020-11-01,0.0
2020-11-02,9.618880774436647
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,11.909090482635849
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,18.779719607233453
2020-11-11,9.160838832796806
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,10.534964657716326
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,10.993006599356168
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,9.618880774436647
2020-11-26,9.618880774436647
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,10.534964657716326
2020-11-30,9.160838832796806
2020-12-01,9.618880774436647
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,11.451048540996007
2020-12-07,27.94055844003026
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,10.534964657716326
2020-12-14,0.0
2020-12-15,9.618880774436647
2020-12-16,9.618880774436647
2020-12-17,0.0
2020-12-18,10.534964657716326
2020-12-19,11.909090482635849
2020-12-20,0.0
2020-12-21,10.534964657716326
2020-12-22,21.527971257072494
2020-12-23,11.909090482635849
2020-12-24,13.741258249195209
2020-12-25,11.909090482635849
2020-12-26,10.993006599356168
2020-12-27,0.0
2020-12-28,9.618880774436647
2020-12-29,0.0
2020-12-30,30.6888100898693
2020-12-31,11.909090482635849
2021-01-01,10.993006599356168
2021-01-02,0.0
2021-01-03,20.153845432152973
2021-01-04,0.0
2021-01-05,19.237761548873294
2021-01-06,10.076922716076487
2021-01-07,9.618880774436647
2021-01-08,19.695803490513132
2021-01-09,32.52097785642866
2021-01-10,21.069929315432653
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,18.779719607233453
2021-01-14,0.0
2021-01-15,29.31468426494978
2021-01-16,0.0
2021-01-17,10.076922716076487
2021-01-18,0.0
2021-01-19,17.86363572395377
2021-01-20,0.0
2021-01-21,9.160838832796806
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,21.527971257072494
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,27.94055844003026
2021-02-03,9.160838832796806
2021-02-04,9.160838832796806
2021-02-05,28.856642323309938
2021-02-06,0.0
2021-02-07,9.618880774436647
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,18.779719607233453
2021-02-12,10.076922716076487
2021-02-13,0.0
